Date : 2026-08-25 12:11:23
Directory : m:\test\ESDBox_IPGUI
Total : 406 files,  412918 codes, 159011 comments, 34455 blanks, all 606384 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| m:\test\ESDBox_IPGUI\core\image\proc\ipgui_image_geometry_transform.h           | C++      |         31 |          4 |          6 |         41 |
| m:\test\ESDBox_IPGUI\core\ipgui_core.c                                          | C        |         23 |          3 |          6 |         32 |
| m:\test\ESDBox_IPGUI\core\ipml\ipml_loader.c                                    | C        |        160 |         52 |         42 |        254 |
| m:\test\ESDBox_IPGUI\core\ipml\ipml_loader.h                                    | C++      |         19 |         32 |         10 |         61 |
| m:\test\ESDBox_IPGUI\core\misc\ipgui_angle.h                                    | C++      |         22 |         19 |          8 |         49 |
| m:\test\ESDBox_IPGUI\core\misc\ipgui_graphic2.h                                 | C        |          6 |         14 |          3 |         23 |
| m:\test\ESDBox_IPGUI\core\misc\ipgui_lcd_pix_fmt.h                              | C++      |         14 |         11 |          6 |         31 |
| m:\test\ESDBox_IPGUI\core\misc\ipgui_line_clip.c                                | C        |        106 |         23 |         16 |        145 |
| m:\test\ESDBox_IPGUI\core\misc\ipgui_line_clip.h                                | C++      |         15 |          0 |          4 |         19 |
| m:\test\ESDBox_IPGUI\core\misc\ipgui_pattle.h                                   | C        |        541 |          0 |          5 |        546 |
| m:\test\ESDBox_IPGUI\core\misc\ipgui_prim.c                                     | C        |        154 |         14 |         26 |        194 |
| m:\test\ESDBox_IPGUI\core\misc\ipgui_prim.h                                     | C        |         91 |          1 |         23 |        115 |
| m:\test\ESDBox_IPGUI\core\ui\animation\builtin_anim\ipgui_anim_bounce.c         | C        |         17 |         28 |          8 |         53 |
| m:\test\ESDBox_IPGUI\core\ui\animation\builtin_anim\ipgui_anim_bounce.h         | C++      |          5 |         12 |          4 |         21 |
| m:\test\ESDBox_IPGUI\core\ui\animation\builtin_anim\ipgui_anim_ease.c           | C        |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\ui\animation\builtin_anim\ipgui_anim_liner.c          | C        |          5 |          0 |          2 |          7 |
| m:\test\ESDBox_IPGUI\core\ui\animation\builtin_anim\ipgui_anim_liner.h          | C++      |          5 |          1 |          4 |         10 |
| m:\test\ESDBox_IPGUI\core\ui\animation\ipgui_anim_curve.c                       | C        |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\ui\animation\ipgui_anim_curve.h                       | C++      |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\ui\animation\ipgui_animation.c                        | C        |        153 |         11 |         30 |        194 |
| m:\test\ESDBox_IPGUI\core\ui\animation\ipgui_animation.h                        | C++      |         35 |         57 |         19 |        111 |
| m:\test\ESDBox_IPGUI\core\ui\layout\ipgui_flex.c                                | C        |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\ui\layout\ipgui_flex.h                                | C++      |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\ui\layout\ipgui_grid.c                                | C        |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\ui\layout\ipgui_grid.h                                | C++      |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_dirty_rect.c                  | C        |        193 |         38 |         25 |        256 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_dirty_rect.h                  | C++      |         31 |         10 |          8 |         49 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_scroll.c                      | C        |         88 |         22 |         21 |        131 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_scroll.h                      | C++      |         20 |          1 |          6 |         27 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget.c                      | C        |        245 |         57 |         58 |        360 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget.h                      | C        |         69 |         47 |         28 |        144 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_event.c                | C        |          1 |         33 |          5 |         39 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_evt.h                  | C++      |         33 |          3 |          9 |         45 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_geometry.c             | C        |          1 |          9 |          0 |         10 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_geometry.h             | C++      |         19 |          4 |          6 |         29 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_ref.c                  | C        |          0 |          5 |          0 |          5 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_state.c                | C        |          0 |        235 |         33 |        268 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_state.h                | C++      |          0 |        159 |         30 |        189 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_style.c                | C        |          0 |        673 |         57 |        730 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_style.h                | C++      |          7 |        319 |         66 |        392 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_tree.c                 | C        |        235 |         38 |         40 |        313 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_tree.h                 | C++      |         32 |          0 |          6 |         38 |
| m:\test\ESDBox_IPGUI\core\ui\widget_manager\readme.md                           | Markdown |          2 |          0 |          0 |          2 |
| m:\test\ESDBox_IPGUI\core\vector_render\ipgui_curve.c                           | C        |        115 |         50 |         28 |        193 |
| m:\test\ESDBox_IPGUI\core\vector_render\ipgui_curve.h                           | C        |         20 |          0 |          3 |         23 |
| m:\test\ESDBox_IPGUI\core\vector_render\ipgui_path.c                            | C        |        156 |        268 |         62 |        486 |
| m:\test\ESDBox_IPGUI\core\vector_render\ipgui_path.h                            | C        |         57 |         12 |         11 |         80 |
| m:\test\ESDBox_IPGUI\core\vector_render\ipgui_stroker.c                         | C        |         96 |         48 |         34 |        178 |
| m:\test\ESDBox_IPGUI\core\vector_render\ipgui_stroker.h                         | C        |         39 |         23 |          8 |         70 |
